Time,X-Angle,Y-Angle,Z-Angle
0.0,0.0,0.0,0.0
1.0,1.439881,5.8229337,7.4291162
2.0,1.3746766,5.5890355,7.7497544
3.0,1.4291133,5.6985073,7.868199
4.0,1.2933207,5.749355,7.678568
5.0,1.622932,5.829514,7.6337023
6.0,1.7042879,5.849853,7.3866434
7.0,1.4907285,5.573482,7.952546
8.0,1.6013966,5.7200427,7.6420774
9.0,1.474577,5.63091,8.395817
10.0,1.3208381,5.6063833,7.827521
11.0,1.2801601,5.553143,7.798209
12.0,1.2981063,5.469394,8.228319
13.0,1.2113664,5.2313085,8.315059
14.0,1.4075779,4.7934217,8.33121
15.0,1.5343975,4.9172506,8.333603
16.0,1.7503498,4.935197,8.303693
17.0,1.4668003,4.6492543,8.4012
18.0,1.7874385,4.7341995,8.298907
19.0,1.8000008,4.8245287,8.357532
20.0,1.9082761,4.831707,8.248658
21.0,1.8484555,4.896313,8.250452
22.0,1.9118652,4.848457,8.130812
23.0,1.9555343,4.694718,8.308478
24.0,1.9872392,4.78744,8.315657
25.0,1.995614,4.749753,8.321041
26.0,2.0554347,4.791029,8.258229
27.0,2.0775683,4.732405,8.279166
28.0,2.0518453,4.718048,8.289934
29.0,2.0859432,4.6725845,8.34796
30.0,2.0847468,4.7371907,8.243873
31.0,2.035694,4.347759,8.374281
32.0,2.003989,5.098507,8.05783
33.0,3.1304102,5.1266227,7.281359
34.0,6.0843496,6.2051873,5.044668
35.0,5.483153,6.860821,4.2478585
36.0,5.5944195,6.83091,4.1515474
37.0,5.736792,6.6364937,4.2442694
38.0,5.7170515,6.6424756,4.165904
39.0,5.7284174,6.6275206,4.2771707
40.0,5.7134624,6.6311097,4.273581
41.0,5.716453,6.608378,4.3322053
42.0,5.741578,6.6017976,4.3334017
43.0,5.72423,6.6017976,4.3405805
44.0,5.709275,6.6107707,4.3058844
45.0,5.729016,6.6017976,4.319045
46.0,5.671588,6.6041903,4.3962135
47.0,5.751149,6.587441,4.354937
48.0,5.7780685,6.5700927,4.3728833
49.0,5.7140603,6.605985,4.3483567
50.0,5.703293,6.6107707,4.3357944
51.0,5.6620164,6.6155562,4.398008
52.0,5.6793647,6.6215386,4.360321
53.0,5.68415,6.617949,4.366303
54.0,5.6644096,6.611967,4.393821
55.0,5.6500525,6.6275206,4.3651066
56.0,5.682954,6.6071815,4.374678
57.0,5.6745787,6.600601,4.4225345
58.0,5.654838,6.6203423,4.3740797
59.0,5.6913285,6.6161547,4.3405805
60.0,5.6787663,6.613762,4.3561335
61.0,4.8532424,8.2761755,4.9028935
62.0,-0.49471608,1.6414764,10.500304
63.0,-0.18664017,5.2743793,8.143971
64.0,-1.0504491,5.5663037,8.079366
65.0,-0.89431745,5.2959146,7.710273
66.0,-1.0055838,6.3158555,6.9128647
67.0,-0.799801,6.762715,7.253842
68.0,-0.07776674,7.173682,6.474978
69.0,0.1471586,7.5146594,5.326423
70.0,1.4943178,7.3812594,5.9359946
71.0,4.150351,6.593423,4.9674997
72.0,-0.0317049,5.2737813,8.327023
73.0,-0.51565325,5.6685967,7.9633136
74.0,-0.05623133,5.858826,7.8012
75.0,1.7108682,3.3619158,9.447462
76.0,-0.63230336,4.4093738,8.721839
77.0,-0.90388876,5.078168,8.137392
78.0,-0.95712906,5.395217,8.048857
79.0,-0.89730847,5.502894,7.7671022
80.0,-0.21475583,6.1118674,7.6546397
81.0,-0.06999006,6.0640106,7.6456666
82.0,-0.02751746,6.047859,7.652845
83.0,-0.07537391,5.9820566,7.6977105
84.0,-0.017347964,6.0011992,7.774879
85.0,-0.3906283,6.008976,6.988837
86.0,-0.4941179,6.7178497,6.8871417
87.0,-1.6390835,5.4777694,8.980264
88.0,0.018544376,5.8839507,7.9830546
89.0,-0.7393822,6.1525455,7.6103725
90.0,-0.41575295,5.959923,7.7120676
91.0,-0.2542374,6.256633,7.585846
92.0,-0.65324056,6.5760746,7.280163
93.0,-0.04366901,6.242276,7.437491
94.0,-0.22971097,6.1944194,7.4590263
95.0,0.111266255,5.9898334,7.8400836
96.0,-0.52163535,6.0436716,7.5990067
97.0,-0.28953153,6.181259,7.6552377
98.0,-0.22432712,6.094519,7.570891
99.0,0.011365907,6.0251274,7.682157
100.0,1.0037891,6.5437717,6.485746
101.0,0.9170493,5.8947186,7.7258263
102.0,0.23090738,6.0191455,7.648658
103.0,0.15254244,6.1010995,7.765906
104.0,0.23449662,5.8546386,7.731808
105.0,-0.25244278,5.9192452,7.584051
106.0,0.80578303,5.743971,8.048857
107.0,0.7316055,5.825327,7.880761
108.0,0.93260264,5.7583275,7.793423
109.0,0.637089,6.0077796,7.615158
110.0,1.4709877,6.0029936,7.417152
111.0,2.079961,6.4151573,6.6556363
